Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
8/22/14,2014-8,"230,000","5,000","7,900,000","24,000","18,900",,,,,,
8/23/14,2014-8,"180,000","4,000","7,100,000","25,000","16,100",,,,,,
8/24/14,2014-8,"200,000","5,000","7,900,000","27,000","17,400",,,,,,
8/25/14,2014-8,"270,000","6,000","8,000,000","23,000","19,100",,,,,,
8/26/14,2014-8,"280,000","7,000","15,900,000","39,000","21,300",,,,,,
8/27/14,2014-8,"280,000","7,000","25,000,000","51,000","22,600",,,,,,
8/28/14,2014-8,"390,000","7,000","28,300,000","54,000","24,600",,,,,,
8/29/14,2014-8,"300,000","7,000","30,500,000","56,000","25,200",,,,,,
8/30/14,2014-8,"230,000","5,000","26,700,000","53,000","18,700",,,,,,
8/31/14,2014-8,"240,000","5,000","25,700,000","52,000","18,000",,,,,,
9/1/14,2014-9,"290,000","6,000","5,900,000","24,000","16,300",,,,,,
9/2/14,2014-9,"350,000","7,000","11,300,000","43,000","21,300",,,,,,
9/3/14,2014-9,"370,000","7,000","11,800,000","40,000","22,100",,,,,,
9/4/14,2014-9,"370,000","8,000","10,900,000","40,000","22,300",,,,,,
9/5/14,2014-9,"330,000","7,000","10,800,000","37,000","21,300",,,,,,
9/6/14,2014-9,"330,000","6,000","9,500,000","35,000","15,600",,,,,,
9/7/14,2014-9,"320,000","6,000","9,400,000","37,000","16,500",,,,,,
9/8/14,2014-9,"370,000","8,000","10,200,000","35,000","20,900",,,,,,
9/9/14,2014-9,"370,000","8,000","10,100,000","37,000","20,500",,,,,,
9/10/14,2014-9,"370,000","8,000","11,300,000","41,000","57,100",,,,,,
9/11/14,2014-9,"370,000","7,000","10,700,000","37,000","22,700",,,,,,
9/12/14,2014-9,"380,000","7,000","18,100,000","85,000","25,100",,,,,,
9/13/14,2014-9,"330,000","6,000","15,400,000","85,000","22,100",,,,,,
9/14/14,2014-9,"370,000","6,000","14,900,000","67,000","21,800",,,,,,
9/15/14,2014-9,"420,000","8,000","26,400,000","110,000","33,100",,,,,,
9/16/14,2014-9,"490,000","8,000","20,600,000","79,000","31,500",,,,,,
9/17/14,2014-9,"390,000","9,000","159,100,000","200,000","56,900",,,,,,
9/18/14,2014-9,"360,000","9,000","20,100,000","82,000","32,800",,,,,,
9/19/14,2014-9,"340,000","7,000","22,000,000","86,000","29,700",,,,,,
9/20/14,2014-9,"280,000","6,000","18,900,000","88,000","23,600",,,,,,
9/21/14,2014-9,"330,000","6,000","20,500,000","87,000","24,500",,,,,,
9/22/14,2014-9,"380,000","8,000","25,400,000","87,000","28,900",,,,,,
9/23/14,2014-9,"360,000","8,000","24,200,000","84,000","30,500",,,,,,
9/24/14,2014-9,"410,000","9,000","21,000,000","78,000","26,900",,,,,,
9/25/14,2014-9,"400,000","8,000","19,800,000","75,000","28,000",,,,,,
9/26/14,2014-9,"320,000","7,000","20,600,000","77,000","25,100",,,,,,
9/27/14,2014-9,"260,000","5,000","21,700,000","86,000","23,200",,,,,,
9/28/14,2014-9,"300,000","6,000","20,700,000","78,000","22,700",,,,,,
9/29/14,2014-9,"380,000","8,000","26,000,000","87,000","50,200",,,,,,
9/30/14,2014-9,"390,000","8,000","22,500,000","67,000","25,900",,,,,,
10/1/14,2014-10,"350,000","7,000","6,100,000","8,000","17,000",,,,,,
10/2/14,2014-10,"340,000","7,000","4,900,000","8,000","14,500",,,,,,
10/3/14,2014-10,"300,000","6,000","4,900,000","8,000","12,000",,,,,,
10/4/14,2014-10,"230,000","4,000","2,100,000","7,000","8,100",,,,,,
10/5/14,2014-10,"260,000","5,000","2,300,000","7,000","8,500",,,,,,
10/6/14,2014-10,"360,000","7,000","2,700,000","7,000","14,000",,,,,,
